# generated by: gensig.py chirp -a 0.3 -o sig_chirp_500_8k.csv --f0 500 --f1 8000
# date: 2026-04-03T17:17:13
# signal: 500–8000 Hz log chirp
# samples: 4096
# fs: 48828.0
# amplitude: 0.3
time_s,speaker
3.133448021626935535e-03,-2.435096160385596953e-01
3.153928074055869796e-03,-2.553870819196809028e-01
3.174408126484803624e-03,-2.659704081713033519e-01
3.194888178913737886e-03,-2.752029212702702954e-01
3.215368231342672148e-03,-2.830346668544766464e-01
3.235848283771606410e-03,-2.894226977642677112e-01
3.256328336200540671e-03,-2.943313278168991354e-01
3.276808388629474933e-03,-2.977323497498092220e-01
3.297288441058409195e-03,-2.996052159400002246e-01
3.317768493487343456e-03,-2.999371806873907809e-01
3.338248545916277718e-03,-2.987234030386976547e-01
3.358728598345211980e-03,-2.959670093243072508e-01
3.379208650774145808e-03,-2.916791147828783903e-01
3.399688703203080069e-03,-2.858788038559474942e-01
3.420168755632014331e-03,-2.785930689467087662e-01
3.440648808060948593e-03,-2.698567076521901087e-01
3.461128860489882855e-03,-2.597121786953431877e-01
3.481608912918817116e-03,-2.482094170017311308e-01
3.502088965347751378e-03,-2.354056085837786527e-01
3.522569017776685640e-03,-2.213649261122657419e-01
3.543049070205619901e-03,-2.061582262693285317e-01
3.563529122634553729e-03,-1.898627101879842571e-01
3.584009175063487991e-03,-1.725615484893897600e-01
3.604489227492422253e-03,-1.543434726291896819e-01
3.624969279921356514e-03,-1.353023344575153830e-01
3.645449332350290776e-03,-1.155366360822285554e-01
3.665929384779225038e-03,-9.514903230086937946e-02
3.686409437208159300e-03,-7.424580803226590864e-02
3.706889489637093561e-03,-5.293633333313363387e-02
3.727369542066027823e-03,-3.133249872705709538e-02
3.747849594494962085e-03,-9.548133702171940698e-03
3.768329646923895913e-03,1.230158865105302445e-02
3.788809699352830174e-03,3.410075779035311866e-02
3.809289751781764436e-03,5.573333950402208081e-02
3.829769804210698698e-03,7.708379410002795529e-02
3.850249856639632959e-03,9.803769572449182179e-02
3.870729909068567221e-03,1.184823494974550223e-01
